cohort,stage,feature,coefficient,standardizedCoefficient,absStandardizedCoefficient
selectedDateRaces,E4 REDI readiness,terrain_climb,0.8470412601578771,0.6774652356655262,0.6774652356655262
selectedDateRaces,E4 REDI readiness,terrain_descent,0.8336679781051837,0.6698880867783156,0.6698880867783156
selectedDateRaces,E4 REDI readiness,terrain_flat,0.8113586274736855,0.7812306111958994,0.7812306111958994
selectedDateRaces,E4 REDI readiness,terrain_mixed_climb_descent,0.8316501468404123,0.6209541092086149,0.6209541092086149
selectedDateRaces,E4 REDI readiness,terrain_steep_climb,0.824136889559033,0.3876227520312971,0.3876227520312971
selectedDateRaces,E4 REDI readiness,terrain_steep_descent,0.9627558047593997,0.4438428837905862,0.4438428837905862
selectedDateRaces,E5 HR effort,intercept,6.06565337803303,,
selectedDateRaces,E5 HR effort,logDistanceKm,1.0948992260326802,0.5667481884760419,0.5667481884760419
selectedDateRaces,E5 HR effort,logGapFactor,0.7193471576523836,0.5459511939447571,0.5459511939447571
selectedDateRaces,E5 HR effort,altitudePenalty,6.711372722416638,0.2071149317420934,0.2071149317420934
selectedDateRaces,E5 HR effort,progress,0.2030863047740389,0.120915298502886,0.120915298502886
selectedDateRaces,E5 HR effort,meanHrReserve,-1.4197682152154347,-0.27561811821680415,0.27561811821680415
selectedDateRaces,E5 HR effort,ctl,-0.2414706725059686,-0.11792527404936803,0.11792527404936803
selectedDateRaces,E5 HR effort,tsb,0.23571247597573775,0.08775884799239929,0.08775884799239929
selectedDateRaces,E5 HR effort,terrain_climb,0.9485089929845546,0.7586193243330125,0.7586193243330125
selectedDateRaces,E5 HR effort,terrain_descent,1.0456480613001256,0.8402232035106645,0.8402232035106645
selectedDateRaces,E5 HR effort,terrain_flat,0.9143998458562801,0.8804456207978222,0.8804456207978222
selectedDateRaces,E5 HR effort,terrain_mixed_climb_descent,0.9839174260457509,0.7346449359099468,0.7346449359099468
selectedDateRaces,E5 HR effort,terrain_steep_climb,0.9494970195547118,0.44658436289903336,0.44658436289903336
selectedDateRaces,E5 HR effort,terrain_steep_descent,1.2236820322916049,0.5641332509968733,0.5641332509968733
selectedDateRaces,E6 decayed acute TRIMP,intercept,6.079680420622658,,
selectedDateRaces,E6 decayed acute TRIMP,logDistanceKm,1.0542961512938263,0.5457309856982258,0.5457309856982258
selectedDateRaces,E6 decayed acute TRIMP,logGapFactor,0.7201908928850158,0.5465915499296644,0.5465915499296644
selectedDateRaces,E6 decayed acute TRIMP,altitudePenalty,2.006202213344618,0.06191198904656994,0.06191198904656994
selectedDateRaces,E6 decayed acute TRIMP,meanHrReserve,-1.602534604720032,-0.31109836619579756,0.31109836619579756
selectedDateRaces,E6 decayed acute TRIMP,ctl,-0.1787315121082823,-0.08728580712469816,0.08728580712469816
selectedDateRaces,E6 decayed acute TRIMP,tsb,0.2830352033002676,0.10537772037778227,0.10537772037778227
selectedDateRaces,E6 decayed acute TRIMP,decayedTrimpBefore,0.2666821949909413,0.1866190059662723,0.1866190059662723
selectedDateRaces,E6 decayed acute TRIMP,terrain_climb,0.9402458773908882,0.7520104685236139,0.7520104685236139
selectedDateRaces,E6 decayed acute TRIMP,terrain_descent,1.047408537357762,0.8416378217628246,0.8416378217628246
selectedDateRaces,E6 decayed acute TRIMP,terrain_flat,0.9211263336374218,0.8869223352647964,0.8869223352647964
selectedDateRaces,E6 decayed acute TRIMP,terrain_mixed_climb_descent,0.9779899476840624,0.7302191661798275,0.7302191661798275
selectedDateRaces,E6 decayed acute TRIMP,terrain_steep_climb,0.9615959356401368,0.4522749407739511,0.4522749407739511
selectedDateRaces,E6 decayed acute TRIMP,terrain_steep_descent,1.2313137889123755,0.5676515895518895,0.5676515895518895
selectedDateRaces,E6bis cumulative acute TRIMP,intercept,6.015008793025393,,
selectedDateRaces,E6bis cumulative acute TRIMP,logDistanceKm,1.0647581329505897,0.5511463782849252,0.5511463782849252
selectedDateRaces,E6bis cumulative acute TRIMP,logGapFactor,0.7463144442779532,0.5664181161728628,0.5664181161728628
selectedDateRaces,E6bis cumulative acute TRIMP,altitudePenalty,4.98865762963346,0.1539514384285548,0.1539514384285548
selectedDateRaces,E6bis cumulative acute TRIMP,meanHrReserve,-1.2790915559762899,-0.24830870553873802,0.24830870553873802
selectedDateRaces,E6bis cumulative acute TRIMP,ctl,-0.2316079801909851,-0.11310870281925196,0.11310870281925196
selectedDateRaces,E6bis cumulative acute TRIMP,tsb,0.12709559412722468,0.04731935753227954,0.04731935753227954
selectedDateRaces,E6bis cumulative acute TRIMP,cumTrimpBefore,0.01923851868738887,0.15466536374952283,0.15466536374952283
selectedDateRaces,E6bis cumulative acute TRIMP,terrain_climb,0.9246941405452905,0.7395721593612629,0.7395721593612629
selectedDateRaces,E6bis cumulative acute TRIMP,terrain_descent,1.0581436043676409,0.8502639099532692,0.8502639099532692
selectedDateRaces,E6bis cumulative acute TRIMP,terrain_flat,0.9088836246330303,0.8751342323047344,0.8751342323047344
selectedDateRaces,E6bis cumulative acute TRIMP,terrain_mixed_climb_descent,0.9756878623365393,0.7285003071599326,0.7285003071599326
selectedDateRaces,E6bis cumulative acute TRIMP,terrain_steep_climb,0.9364747101013411,0.4404594781959355,0.4404594781959355
selectedDateRaces,E6bis cumulative acute TRIMP,terrain_steep_descent,1.211124851041593,0.5583442279541307,0.5583442279541307
